sentence,sentence-id-normal-reading,sentence-id-task-specific-reading
"With his interest in race cars, he formed a second company, the Henry Ford Company.",5-4,231-4
"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",11-3,237-3
"Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.",16-1,894-1
After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.,34-2,279-2
"They founded the town of Portsmouth, Rhode Island.",34-3,279-3
"Sir Andrew Fielding Huxley, OM, FRS (born 22 November 1917, Hampstead, London, England, UK) is a British physiologist and biophysicist, who won the 1963 Nobel Prize in Physiology or Medicine for his work with Alan Lloyd Hodgkin on the basis of nerve ""action potentials,"" the electrical impulses that enable the activity of an organism to be coordinated by a central nervous system.",42-1,138-1
"Albert Einstein (March 14, 1879 - April 18, 1955) was a German-born Jewish theoretical physicist of German, Swiss and American citizenship, who is widely regarded as the greatest scientist of the 20th century or even of all time, ranking alongside the luminaries Newton and Gauss.",44-1,318-1
"He was awarded the 1921 Nobel Prize for Physics for his explanation of the photoelectric effect in 1905 (his ""miracle year"") and ""for his services to Theoretical Physics"".",44-3,318-3
Einstein attended the Luitpold Gymnasium where he received a relatively progressive education.,45-1,319-1
"Einstein married Mileva Maria on January 6, 1903.",47-1,321-1
"The same year, he renounced his Wuerttemberg citizenship and became stateless.",50-5,324-5
"""The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.""","52-4	",326-4
"In the Senate, he was aligned with the Federalists.",59-4,944-4
"Clive Jay Davis (born April 4, 1934) is the founder of Arista Records, and member of the Rock and Roll Hall of Fame as a nonperformer.",64-1,106-1
He graduated from New York University`s College of Arts and Sciences in 1953 and received a scholarship to Harvard Law School.,65-2,107-2
He was then hired by the legal department of CBS subsidiary Columbia Records.,65-4,107-4
"In 1974, he founded Arista Records, naming it after his secondary school honor society.",66-1,108-1
He was one of the founder members of the Lunar Society.,67-3,922-3
"King married Coretta Scott on June 18, 1953.",73-1,333-1
"The Reverend Martin Luther King, Jr. Ph.D., Boston University (January 15, 1929 - April 4, 1968) was an American Nobel Laureate, Baptist minister, and African American civil rights activist.",75-1,335-1
He also was awarded the Presidential Medal of Freedom.,75-4,335-4
"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.",76-1,336-1
He graduated from Morehouse College with a Bachelor of Arts degree in Sociology in 1948.,77-4,337-4
"Elvis Aron Presley (January 8, 1935 - August 16, 1977), also known as The King of Rock and Roll (sometimes shortened to The King) was an American singer and actor.",83-1,338-1
"Rather than retire, Adams would go on to win election as a Democratic-Republican to the House of Representatives beginning with the 22nd Congress, serving from March 4, 1831, until his death.",99-1,990-1
"He served as the Governor of California from January 2, 1939 until January 4, 1943, and was the only Democrat elected to that office between 1898 and 1954.",114-1,887-1
Senator from Connecticut and a Wall Street executive banker with Brown Brothers Harriman.,117-2,213-2
"His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.",119-1,215-1
"When it merged with Brown Brothers in 1931, he became a partner in the new firm of Brown Brothers Harriman.",119-2,215-2
"""He maintained homes in Long Island, New York and Greenwich, Connecticut; the family compound at Kennebunkport, Maine; a 10,000 acre (40 km?) plantation in South Carolina; and an island retreat in Florida.""","120-1	",216-1
He received training in intelligence at Verdun and was briefly assigned to a staff of French officers.,121-2,217-2
"The Bushes moved to Columbus, Ohio, in 1923, where Bush worked for the Hupp Products Company, where his business efforts generally failed.",122-1,218-1
"He left in November 1923 to become president of sales for Stedman Products of South Braintree, Massachusetts.",122-2,218-2
"In 1925, he joined the United States Rubber Company (based in New York City) as manager of the foreign division, and moved to Greenwich, Connecticut.",122-4,218-4
"As a managing partner of Brown Brothers Harriman, he sat on several corporate boards, including the following:",124-1,220-1
"After attending the Douglas School in Columbus and St. George's School in Newport, Rhode Island as well as the famous Stonyhurst College in England (where he designed the boys' golf course still in use today) from 1908 to 1913, Bush entered Yale University.",126-1,222-1
"After his discharge in 1919, Bush went to work for the Simmons Hardware Company in St. Louis, Missouri.",128-1,224-1
"She was nominated for the Academy Award for Best Supporting Actress for The Godfather, Part II and for the Best Actress in a Leading Role for Rocky.",133-2,432-2
"David Manners (April 30, 1901 - December 23, 1998) was a Canadian film actor.",138-1,344-1
"During World War II, he accompanied FDR as a military aide to the Casablanca meeting of 1943 and the subsequent Cairo and Tehran Conferences.",145-1 ,28-1
"Elliot and Fokker were able to receive such a large commission because Elliot had close connections to the U.S. Export-Import Bank through his father, Franklin Delano Roosevelt.",148-2 ,31-2
Keynes was educated at Oundle School.,151-1,243-1
He also created the Defense Intelligence Agency and the Defense Supply Agency.,164-1,794-1
He served in the United States Senate as a Republican from Minnesota.,172-2,611-2
"Adolf Otto Reinhold Windaus (December 25, 1876 - June 9, 1959) was a significant German chemist.",178-1,317-1
He won a Nobel Prize in Chemistry in 1928.,178-2,317-2
"Jack Kerouac (March 12, 1922 - October 21, 1969) was an American novelist, writer, poet, artist, and part of the Beat Generation.",179-1,142-1
"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.",180-2,143-2
