sentence_id,paragraph_id,sentence,control,relation_types
5,4,"With his interest in race cars, he formed a second company, the Henry Ford Company.",CONTROL,FOUNDER
5,5,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",,NO-RELATION
5,6,"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",,NO-RELATION
6,1,"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",,EMPLOYER
6,2,"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",,NO-RELATION
7,1,"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",CONTROL,NO-RELATION
8,1,"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",,NO-RELATION
8,3,There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,,NO-RELATION
8,4,"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",,NO-RELATION
9,3,"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H.",,NO-RELATION
10,2,Henry Ford advocated long -time associate Harry Bennett to take the spot.,,NO-RELATION
10,3,"Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.",,NO-RELATION
11,3,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",CONTROL,VISITED
12,1,"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.",,JOB_TITLE
12,2,He is of three quarters Irish and one quarter French descent.,,NATIONALITY
13,1,"Baldwin has appeared in movies such as The Cooler, The Hunt for Red October, Beetlejuice, Ghosts of Mississippi, Talk Radio, Final Fantasy: The Spirits Within (voice), The Cat in the Hat, Pearl Harbor, Thomas and the Magic Railroad, Along Came Polly, The SpongeBob SquarePants Movie, and The Aviator.",,NO-RELATION
14,1,"When Baldwin was young, he had a job as a busboy at famous New York City disco Studio 54.",CONTROL,EMPLOYER;VISITED
15,1,He was married to actress Kim Basinger from 1993 to 2002.,,WIFE
16,1,"Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.",,POLITICAL_AFFILIATION
17,2,"In particular, Baldwin is one of the most frequent hosts of Saturday Night Live, leading the show eleven times and also making cameo appearances regularly.",CONTROL,NO-RELATION
17,3,He played William Barrett Travis in a movie about the Alamo called Thirteen Days of Glory.,,NO-RELATION
17,4,"In 1998, he began narrating the American version of the children's series Thomas the Tank Engine and Friends.",,NO-RELATION
18,1,"He is infamous for his 1994 appearance on Saturday Night Live as he potrays Mr. Armstrong, a scoutmaster who is a pedophile, he rips his shirt and puts his mouth around Adam Sandler's neck.",,NO-RELATION
19,1,"Rosemary Clooney (May 23, 1928 – June 29, 2002) was an American popular singer and actress.",,JOB_TITLE;NATIONALITY
20,1,"In 1954 she, along with Bing Crosby, Danny Kaye, and Vera-Ellen, starred in the movie White Christmas.",,NO-RELATION
21,1,"Clooney's first recordings, in May of 1946 were for Columbia Records as a singer with the big band of Tony Pastor.",,EMPLOYER
22,1,"Rosemary Clooney was married three times, twice to José Ferrer (from 1953 until 1961 and then again from 1964 to 1967) by whom she had five children, including actor Miguel Ferrer, born in 1955, and Gabriel Ferrer, born 1956, who married Debby Boone, and once to Dante DePaolo (whom she married in 1997).",,NO-RELATION
23,1,"Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.",,NO-RELATION
23,2,In 1945 the Clooney sisters won a spot on Cincinnati's radio station WLW as singers.,,EMPLOYER
24,1,"She was born in Maysville, Kentucky, about 60 miles up the Ohio River from Cincinnati, Ohio to Andrew Joseph Clooney and Frances Marie Guilfoyle, both of whom were of Irish descent (Rosemary's paternal great-grandparents, Nicholas Clooney and Bridget Byron, were born in Ireland), although Clooney's paternal grandmother, Crescentia Koch, was German.",,NO-RELATION
25,1,"In 1958, Clooney left Columbia, doing a number of recordings for MGM Records and then some for Coral Records.",CONTROL,EMPLOYER
25,2,"Finally, toward the end of 1958, she signed with RCA Victor Records, where she stayed until 1963 except for doing some recordings in 1960 for Reprise Records.",,EMPLOYER
25,3,"In 1964 she went to Reprise again, shifting the next year to Dot Records.",,EMPLOYER
25,4,In 1966 she went to United Artists Records.,,EMPLOYER
25,5,"In 1986 she sang a duet with Wild Man Fischer on ""It's a Hard Business"".",,NO-RELATION
26,1,"Michael McManus (born February 5, 1959) is a syndicated columnist who write Ethics & Religion.",CONTROL,JOB_TITLE
26,2,"On January 28, 2005 it was revealed that he accepted money from the George W. Bush administration to promote their marriage initiative program, which he did not disclose to his readers.",,NO-RELATION
27,1,"Timothy Bush, Sr. (c. 1728 - c. 1815) - soldier.",,JOB_TITLE
28,1,"He is assumed to be the son of Richard Bush and Mary Fairbanks both of Dedham, Massachusetts.",,VISITED
29,1,By training he was a blacksmith but when the American Revolution broke out militia Captain Bush led a company of soldiers for the Continental Army.,,NO-RELATION
29,2,"The family moved around 1810 to Springport, in Cayuga County in the Rochester, New York area.",,VISITED
29,3,"He died in Springport, New York in 1815.",,NO-RELATION
30,1,"Through his son Timothy Bush, Jr., who was also a blacksmith, descended two American Presidents -George H. W. Bush and George W. Bush.",,NO-RELATION
31,1,Bush was a soldier in the French and Indian Wars and a Captain in the American Revolution and is the great-great-great-great-great grandfather of president George W. Bush.,,NO-RELATION
32,3,"They had five children after which they relocated to Norwich, Vermont where Bush was a Captain of a militia company.",,VISITED
33,1,"Anne Hutchinson (July 17, 1591 – August 20, 1643) was the unauthorized Puritan preacher of a dissident church discussion group, and pioneer in Rhode Island and the Bronx.",,VISITED
34,1,"Eventually, John Winthrop decided to take Hutchinson out of power before her influence became too strong among the community's men.",,NO-RELATION
34,2,After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.,CONTROL,FOUNDER
34,3,"They founded the town of Portsmouth, Rhode Island.",,FOUNDER
35,1,"At the age of 21, she married William Hutchinson.",CONTROL,NO-RELATION
35,2,"They were part of the Puritan movement, especially following the teachings of John Cotton.",,NO-RELATION
36,1,Three U.S. Presidents (Franklin D. Roosevelt and both Bushes – George H. W. Bush and George W. Bush) are her descendants.,,NO-RELATION
36,2,"Another descendant, Eve LaPlante, is the author of the most recent biography of Anne Hutchinson, American Jezebel: The Uncommon Life of Anne Hutchinson, the Woman Who Defied the Puritans.",,NO-RELATION
37,1,"Hutchinson was born Anne Marbury on July 17, 1591 in Alford, Lincolnshire, England.",,NO-RELATION
38,2,"Hutchinson emigrated from England to Massachusetts in 1634, in response to the preacher John Cotton's doing so.",,VISITED
39,1,"She later moved yet further from her Boston-based persecutors, to what is now The Bronx in northern New York City.",,VISITED
40,1,"Erin Fleming (August 13, 1941- April 15, 2003) was a minor actress who was best known as the companion and care-giver to Groucho Marx in his final years.",,NO-RELATION
41,1,Fleming was born Marilyn Fleming in Canada.,CONTROL,NO-RELATION
42,1,"Sir Andrew Fielding Huxley, OM, FRS (born 22 November 1917, Hampstead, London, England, UK) is a British physiologist and biophysicist, who won the 1963 Nobel Prize in Physiology or Medicine for his work with Alan Lloyd Hodgkin on the basis of nerve ""action potentials,"" the electrical impulses that enable the activity of an organism to be coordinated by a central nervous system.",,AWARD;JOB_TITLE;NATIONALITY
42,2,"Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.",,NO-RELATION
43,1,"Huxley was a son of the writer and editor Leonard Huxley by his second wife Rosalind Bruce, and hence half-brother of Aldous Huxley and fellow biologist Julian Huxley and grandson of the biologist T. H. Huxley.",,NO-RELATION
44,1,"Albert Einstein (March 14, 1879 – April 18, 1955) was a German-born Jewish theoretical physicist of German, Swiss and American citizenship, who is widely regarded as the greatest scientist of the 20th century or even of all time, ranking alongside the luminaries Newton and Gauss.",,JOB_TITLE;NATIONALITY
44,3,"He was awarded the 1921 Nobel Prize for Physics for his explanation of the photoelectric effect in 1905 (his ""miracle year"") and ""for his services to Theoretical Physics"".",,AWARD
45,1,Einstein attended the Luitpold Gymnasium where he received a relatively progressive education.,,EDUCATION
46,1,"In the spring of 1896, the Serbian Mileva Marić (an acquaintance of Nikola Tesla) started initially as a medical student at the University of Zurich, but after a term switched to the same section as Einstein as the only woman that year to study for the same diploma.",,NO-RELATION
47,1,"Einstein married Mileva Marić on January 6, 1903.",,WIFE
47,4,"Abram Joffe, a Soviet physicist who knew Einstein, in an obituary of Einstein, wrote, ""The author of [the papers of 1905] was ... a bureaucrat at the Patent Office in Bern, Einstein-Marić"" and this has recently been taken as evidence of a collaborative relationship.",,NO-RELATION
48,4,"He and Mileva had an illegitimate daughter Lieserl, born in January 1902.",CONTROL,NO-RELATION
49,1,"In 1894, following the failure of Hermann's electrochemical business, the Einsteins moved from Munich to Pavia, Italy (near Milan).",,VISITED
50,1,"Despite excelling in the mathematics and science portion, his failure of the liberal arts portion of the Eidgenössische Technische Hochschule (ETH, Swiss Federal Institute of Technology, in Zurich) entrance exam the following year was a setback; his family sent him to Aarau, Switzerland, to finish secondary school, where he received his diploma in September 1896.",,VISITED
50,3,"Albert's sister Maja was to later marry their son Paul, and his friend Michele Besso married their other daughter Anna.",,NO-RELATION
50,5,"The same year, he renounced his Württemberg citizenship and became stateless.",,NATIONALITY
51,1,"On May 14, 1904, the couple's first son, Hans Albert Einstein, was born.",,NO-RELATION
52,1,"Einstein was born at Ulm in Baden-Württemberg, Germany, about 100 km east of Stuttgart.",CONTROL,NO-RELATION
52,4,"The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.",,EDUCATION
53,1,"Miguel Ferrer (born February 7, 1955 in Santa Monica, California) is a Puerto Rican-American actor who is often cast in movies as a villain.",,JOB_TITLE;NATIONALITY
54,1,"In 1983, Miguel was given a small part as a waiter in the movie The Man Who Wasn't There.",,NO-RELATION
54,2,He was also given a small part in Star Trek III: The Search for Spock as the Excelsior helm officer.,,NO-RELATION
55,1,Miguel was the oldest of five children born to Oscar winner Jose Ferrer and singer Rosemary Clooney-Ferrer.,CONTROL,NO-RELATION
55,2,Miguel was raised amongst all the splendor and glamour of Hollywood.,,VISITED
