sentence_id;sentence;control;sentiment_label
# -1 = negative, 0 = neutral, 1 = positive
5;Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.;;0
6;Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.;;1
7;Bread, My Sweet has so many flaws it would be easy for critics to shred it.;;-1
8;Slow, silly and unintentionally hilarious.;CONTROL;0
9;Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.;;-1
10;Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.;;1
11;The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.;;-1
12;Ryan Gosling is, in a word, brilliant as the conflicted Daniel.;;1
14;If Deuces Wild had been tweaked up a notch it would have become a camp adventure, one of those movies that's so bad it starts to become good.;;0
15;The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.;;0
16;Frida is certainly no disaster, but neither is it the Kahlo movie Frida fans have been looking for.;;0
17;The film often achieves a mesmerizing poetry.;CONTROL;1
18;A work of astonishing delicacy and force.;CONTROL;1
19;The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.;;-1
20;For the most part, the ingredients are there.;;0
21;But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.;;0
22;There's not much to Fatale, outside of its stylish surprises... but that's OK.;CONTROL;0
23;The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.;;-1
24;This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true, lived experience.;;0
25;There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.;;-1
26;A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.;;1
27;The film is so bad it doesn't improve upon the experience of staring at a blank screen.;CONTROL;-1
28;Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.;;0
29;Another Best of the Year selection.;;1
30;It's all a rather shapeless good time...;;0
31;Same song, second verse, coulda been better, but it coulda been worse.;CONTROL;0
32;I love the robust middle of this picture.;;1
33;That's not vintage Spielberg and that, finally, is minimally satisfying.;;0
34;The soundtrack alone is worth the price of admission.;CONTROL;1
35;Mostly Martha could have used a little trimming -- 10 or 15 minutes could be cut and no one would notice -- but it's a pleasurable trifle.;;0
36;For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.;;-1
37;Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.;;1
38;The movie is for fans who can't stop loving anime, and the fanatical excess built into it.;;0
39;The Ring is worth a look, if you don't demand much more than a few cheap thrills from your Halloween entertainment.;;0
40;Beautifully observed, miraculously unsentimental comedy-drama.;;1
41;What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.;;1
42;This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.;;-1
43;Bullock's complete lack of focus and ability quickly derails the film.;;-1
44;... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!;CONTROL;-1
45;Crush could be the worst film a man has made about women since Valley of the Dolls.;;-1
46;Reassuring, retro uplifter.;;1
47;Flaccid drama and exasperatingly slow journey.;;-1
48;The Movie will reach far beyond its core demographic.;;1
49;How did it ever get made?;;-1
50;I like the new footage and still love the old stuff.;;1
51;It briefly flirts with player masochism, but the point of real interest -- audience sadism -- is evaded completely.;;0
52;Could The Country Bears really be as bad as its trailers?;;-1
53;At times, the movie looks genuinely pretty.;;1
54;It depends on how well flatulence gags fit into your holiday concept.;;0
55;The stupidest, most insulting movie of 2002's first quarter.;CONTROL;-1
56;The film seems a dead weight.;;-1
57;Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.;;1
58;I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.;;-1
59;A lousy movie that's not merely unwatchable, but also unlistenable.;;-1
60;One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.;;1
61;A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.;CONTROL;1
62;But here's the real damn: It isn't funny, either.;;-1
63;Qutting may be a flawed film, but it is nothing if not sincere.;;0
64;It's a fanboy `what if?';;0
65;... something appears to have been lost in the translation this time.;;-1
66;Like a documentary version of Fight Club, shorn of social insight, intellectual pretension and cinematic interest.;;0
67;Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.;;1
68;It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.;;1
69;An intriguing and entertaining introduction to Johnson.;;1
70;Everything was as superficial as the forced New Jersey lowbrow accent Uma had.;;-1
71;Despite the holes in the story and the somewhat predictable plot, moments of the movie caused me to jump in my chair...;;0
72;`How many more voyages can this limping but dearly-loved franchise survive?';;0
73;If only the story about a multi-million dollar con bothered to include the con.;;0
74;It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.;CONTROL;-1
75;Only a few minutes elapse before the daddy of all slashers arrives, still with the boiler suit and white mask, which look remarkably clean for a guy who has been mass-murdering since 1978 but has never been seen doing laundry.;;0
76;Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.;;-1
77;Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.;;1
78;A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.;;-1
79;It has fun with the quirks of family life, but it also treats the subject with fondness and respect.;;1
80;Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.;;1
81;Since Lee is a sentimentalist, the film is more worshipful than your random E!;;0
82;The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.;;-1
83;High Crimes knows the mistakes that bad movies make and is determined not to make them, and maybe that is nobility of a sort.;;0
84;But it's too long and too convoluted and it ends in a muddle.;CONTROL;-1
85;This thing works on no level whatsoever for me.;;-1
86;... a bland murder-on-campus yawner.;;-1
87;"In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.";-1
88;One of the finest, most humane and important Holocaust movies ever made.;;1
89;Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.;;-1
90;The twist that ends the movie is the one with the most emotional resonance, but twists are getting irritating, and this is the kind of material where the filmmakers should be very careful about raising eyebrows.;;0
91;Angel presents events partly from the perspective of Aurelie and Christelle, and infuses the film with the sensibility of a particularly nightmarish fairytale.;;0
92;Features one of the most affecting depictions of a love affair ever committed to film.;;1
93;It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.;;1
